"","States","year.x","Total.admissions.x","Total.violation.admissions.x","Total.admissions.pct.x","Total.violation.admissions.pct.x","year.y","Total.admissions.y","Total.violation.admissions.y","Total.admissions.pct.y","Total.violation.admissions.pct.y"
"1","Alabama","2019",14148,6360,0.668848726341253,4.60526315789473,"2020",10080,4761,-28.7531806615776,-25.1415094339623
"2","Alaska","2019",34734,3891,6.45784166487877,-13.5717458907152,"2020",27590,2779,-20.5677434214315,-28.5787715240298
"3","Arizona","2019",18159,7752,-1.10015794346713,-6.34287785429504,"2020",15480,6226,-14.7530150338675,-19.6852425180599
"4","Arkansas","2019",9289,4980,0.923511516731845,-0.180396873120869,"2020",7770,5126,-16.3526752072344,2.93172690763053
"5","California","2019",34508,12133,-2.45088339222614,-1.1970684039088,"2020",11574,3879,-66.459951315637,-68.0293414654249
"6","Colorado","2019",9691,3441,-2.94441662493741,-8.67834394904459,"2020",7982,2630,-17.6349189970075,-23.5687300203429
"7","Connecticut","2019",19535,1895,-7.05585688457513,-4.34124179707218,"2020",10699,1011,-45.231635525979,-46.6490765171504
"8","Delaware","2019",11573,NA,-13.3627788591106,NA,"2020",9937,NA,-14.136351853452,NA
"9","Florida","2019",31669,11278,1.22742528368227,4.68764503852224,"2020",24085,8018,-23.9477091161704,-28.9058343677957
"10","Georgia","2019",18967,6278,3.78659370725034,-10.735105929191,"2020",10290,4087,-45.7478778931829,-34.8996495699267
"11","Hawaii","2019",8270,2810,5.63290330821304,-12.1600500156299,"2020",6158,2547,-25.5380894800484,-9.35943060498221
"12","Idaho","2019",7323,5267,6.43895348837209,7.00934579439252,"2020",5732,4095,-21.7260685511402,-22.2517562179609
"13","Illinois","2019",22363,7963,-5.59753472075647,-2.79541015625,"2020",11635,4585,-47.9720967669812,-42.4211980409393
"14","Indiana","2019",10942,5526,-4.83562358671074,-1.07411385606875,NA,NA,NA,NA,NA
"15","Iowa","2019",6210,2673,6.08131192347112,6.57894736842106,NA,NA,NA,NA,NA
"16","Kansas","2019",6388,4314,-2.35402017731581,-2.7063599458728,"2020",4473,2831,-29.9780839073262,-34.3764487714418
"17","Kentucky","2019",19660,11668,-3.47604084838963,-1.50261691710282,NA,NA,NA,NA,NA
"18","Louisiana","2019",16226,8146,1.38081849422056,2.42675719854144,"2020",9640,4954,-40.5891778626895,-39.184876012767
"19","Maine","2019",1102,452,-15.2307692307692,-17.5182481751825,"2020",635,288,-42.3774954627949,-36.283185840708
"20","Maryland","2019",7392,1973,-4.75454194047159,-9.03642231443061,"2020",5057,1347,-31.5882034632035,-31.728332488596
"21","Massachusetts","2019",2201,265,-5.49592099613568,10.4166666666667,NA,NA,NA,NA,NA
"22","Michigan","2019",8686,4344,-5.46364823683065,-6.74109059682267,NA,NA,NA,NA,NA
"23","Minnesota","2019",7123,4470,-8.29148963563796,-9.4775212636695,NA,NA,NA,NA,NA
"24","Mississippi","2019",8028,3740,-6.93252956178994,-3.33419488239856,"2020",6246,3025,-22.1973094170404,-19.1176470588235
"25","Missouri","2019",15025,11507,-16.6759094942325,-17.7307499821263,"2020",12293,10610,-18.1830282861897,-7.79525506213609
"26","Montana","2019",1439,604,9.5963442498096,23.265306122449,"2020",1092,483,-24.1139680333565,-20.0331125827815
"27","Nebraska","2019",2850,671,4.62555066079295,5.83596214511042,NA,NA,NA,NA,NA
"28","Nevada","2019",5971,2515,-8.44832873351733,-2.51937984496124,"2020",4372,2100,-26.7794339306649,-16.5009940357853
"29","New Hampshire","2019",1319,858,-7.63305322128851,0.822561692126911,"2020",907,612,-31.2357846853677,-28.6713286713287
"30","New Jersey","2019",7469,647,-7.21739130434783,-5.27086383601757,"2020",3972,405,-46.8201901191592,-37.403400309119
"31","New Mexico","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","New York","2019",21533,11038,-6.79968836565097,-2.87725472943247,NA,NA,NA,NA,NA
"33","North Carolina","2019",24222,14314,-3.91526835653934,-4.34375835338144,"2020",16995,10407,-29.8365122615804,-27.2949559871455
"34","North Dakota","2019",1530,703,0.196463654223966,-7.86369593709043,"2020",936,389,-38.8235294117647,-44.6657183499289
"35","Ohio","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Oklahoma","2019",9384,1383,-12.9256750487149,-35.7043235704324,"2020",6098,1100,-35.0170502983802,-20.4627621113521
"37","Oregon","2019",9057,4033,-5.5283195994576,-9.69547693685625,"2020",6006,2333,-33.6866512090096,-42.1522439871064
"38","Pennsylvania","2019",18166,8245,-8.2200778052847,-3.89322764891012,"2020",10224,5070,-43.719035560938,-38.5081867798666
"39","Rhode Island","2019",3054,1172,-6.60550458715596,-20.5962059620596,"2020",1826,384,-40.2095612311722,-67.2354948805461
"40","South Carolina","2019",7386,1234,1.87586206896553,-8.99705014749262,"2020",4156,852,-43.7313836988898,-30.9562398703404
"41","South Dakota","2019",4465,3343,4.22502334267041,9.3555773634282,"2020",3323,2380,-25.5767077267637,-28.8064612623392
"42","Tennessee","2019",11573,4430,1.79435306535316,0.727603456116421,NA,NA,NA,NA,NA
"43","Texas","2019",62621,25618,-4.70095875817989,-10.1122807017544,"2020",37286,15667,-40.4576739432459,-38.843781715981
"44","Utah","2019",4057,3294,8.30218900160171,9.83661220406802,"2020",2945,2486,-27.4094158245009,-24.5294474802672
"45","Vermont","2019",7681,703,-1.19629534345254,-7.86369593709043,"2020",6406,734,-16.5994011196459,4.40967283072546
"46","Virginia","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Washington","2019",7697,3174,-4.97530864197531,-5.6199821587868,"2020",4834,2120,-37.196310250747,-33.2073093887839
"48","West Virginia","2019",3885,1258,0.103066220046388,9.96503496503496,"2020",3473,1570,-10.6048906048906,24.8012718600954
"49","Wisconsin","2019",9205,6331,-1.80285897162364,-3.43197071384991,"2020",5209,3771,-43.4111895708854,-40.4359500868741
"50","Wyoming","2019",1116,628,2.95202952029521,5.1926298157454,"2020",878,489,-21.326164874552,-22.1337579617834
